Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Arah angin saat kecepatan maksimum (°),Kecepatan angin rata-rata (m/s),Arah angin terbanyak (°)
07-02-2024,24.6,33.4,28.9,75.0,14.8,3.5,5.0,260.0,1.0,C 
08-02-2024,25.4,32.6,29.3,76.0,-,5.0,11.0,330.0,2.0,C 
09-02-2024,26.0,31.0,29.0,79.0,-,8.5,6.0,320.0,2.0,NW
10-02-2024,25.2,32.0,28.6,79.0,102,4.2,6.0,310.0,1.0,C 
11-02-2024,26.6,32.0,28.8,78.0,0,5.2,7.0,300.0,2.0,NW
12-02-2024,26.2,32.6,28.6,81.0,5.8,7.6,10.0,360.0,2.0,C 
13-02-2024,26.0,31.2,28.6,80.0,3,5.0,8.0,320.0,2.0,C 
14-02-2024,24.4,30.0,27.6,85.0,140.9,6.8,3.0,310.0,0.0,C 
15-02-2024,25.6,31.4,28.5,85.0,3,2.1,5.0,300.0,1.0,C 
16-02-2024,26.4,30.0,28.1,85.0,7.5,0.8,8.0,320.0,2.0,C 
17-02-2024,25.0,31.0,28.3,82.0,18.4,0.2,4.0,300.0,1.0,C 
18-02-2024,26.0,30.4,28.6,80.0,0,3.0,7.0,340.0,2.0,C 
19-02-2024,26.6,32.4,29.5,78.0,0,2.7,9.0,300.0,2.0,C 
20-02-2024,26.8,33.0,29.8,78.0,-,5.2,9.0,340.0,2.0,C 
21-02-2024,26.0,33.0,29.5,77.0,0.2,7.2,5.0,320.0,1.0,C 
22-02-2024,27.4,34.0,30.6,74.0,0,0.3,7.0,350.0,3.0,C 
23-02-2024,27.2,34.0,30.3,72.0,3.2,5.8,4.0,330.0,2.0,C 
24-02-2024,27.4,31.6,28.9,80.0,-,2.4,9.0,330.0,3.0,C 
25-02-2024,26.0,32.8,28.4,81.0,5.7,3.8,9.0,340.0,2.0,C 
26-02-2024,25.6,31.0,28.7,79.0,20.8,1.7,4.0,340.0,0.0,C 
27-02-2024,26.2,32.2,29.1,78.0,0,2.5,6.0,340.0,1.0,C 
28-02-2024,24.8,30.8,27.6,88.0,38.5,5.2,4.0,350.0,1.0,C 
29-02-2024,25.0,27.0,26.1,92.0,75.5,0.3,2.0,320.0,0.0,C 
01-03-2024,25.2,32.4,29.1,77.0,10,0.0,5.0,330.0,2.0,C 
02-03-2024,26.4,30.4,27.7,86.0,-,5.2,4.0,310.0,1.0,NW
03-03-2024,25.8,31,27.7,86.0,17.7,0.0,6.0,310.0,2.0,C 
04-03-2024,25,34,29.2,74.0,6.8,0.2,4.0,270.0,2.0,C 
05-03-2024,26.4,35.2,30.2,71.0,1,1.0,5.0,260.0,2.0,C 
06-03-2024,27.2,33.8,29.6,75.0,8888,2.4,5.0,320.0,2.0,C 
07-03-2024,26.8,34.6,29.7,74.0,4,1.2,5.0,240.0,1.0,C 
08-03-2024,25,32,29.2,75.0,0,4.6,4.0,260.0,1.0,C 
09-03-2024,-,-,-,94.0,4.2,0.5,5.0,270.0,0.0,C 
10-03-2024,24.2,30.8,27.9,86.0,47.7,0.0,4.0,290.0,1.0,C 
11-03-2024,25.4,29.8,27.9,86.0,10.4,0.2,6.0,330.0,1.0,C 
12-03-2024,25,31.4,28.8,79.0,16,0.0,3.0,310.0,1.0,C 
13-03-2024,26.4,31.6,28.2,84.0,4.3,3.0,7.0,330.0,2.0,C 
14-03-2024,26.6,29.6,27.2,86.0,24,1.2,6.0,320.0,1.0,C 
15-03-2024,24.6,30.8,27.4,83.0,31.8,0.0,5.0,270.0,1.0,C 
16-03-2024,24,30,26,91.0,6.5,0.0,2.0,330.0,1.0,C 
17-03-2024,-,29,27,85.0,19,1.0,4.0,230.0,2.0,W 
18-03-2024,25.6,32.4,29,77.0,21.7,2.1,6.0,320.0,2.0,C 
19-03-2024,26.2,34.8,30.2,65.0,0.3,5.0,6.0,260.0,1.0,C 
20-03-2024,25,35.4,30.4,63.0,-,9.9,7.0,240.0,3.0,W 
21-03-2024,26,32,29,77.0,0,9.7,6.0,340.0,2.0,C 
22-03-2024,25.2,29.6,26.4,91.0,63.3,9.0,0.0,0.0,0.0,C 
23-03-2024,25.4,33.6,29.8,75.0,3.8,0.0,5.0,340.0,1.0,C 
24-03-2024,26,33.4,29.9,77.0,-,9.9,3.0,300.0,1.0,C 
25-03-2024,27.2,32,29.2,80.0,-,8.0,4.0,340.0,1.0,C 
26-03-2024,27.4,34.2,30.2,75.0,-,5.0,5.0,120.0,1.0,C 
27-03-2024,27.2,30.8,28.3,82.0,0.4,5.2,3.0,340.0,1.0,C 
28-03-2024,26,32.4,29.3,77.0,-,0.0,6.0,320.0,1.0,C 
29-03-2024,26.8,33.4,29.8,75.0,0,5.5,3.0,90.0,0.0,C 
30-03-2024,27.2,33.6,29.7,77.0,-,6.2,3.0,340.0,1.0,C 
31-03-2024,27.4,33.4,28.9,82.0,-,4.5,8.0,340.0,1.0,C 
Data tidak ditemukan.,,,,,,,,,,
01-05-2024,28,33,30.4,76.0,-,5.6,4.0,360.0,1.0,C 
02-05-2024,28,-,31.3,72.0,-,0.6,6.0,70.0,1.0,C 
03-05-2024,27,33.8,30.7,73.0,-,2.8,7.0,360.0,2.0,C 
04-05-2024,28,34,30.3,70.0,0,6.2,6.0,300.0,1.0,C 
05-05-2024,27.4,34.6,30.8,71.0,0,5.0,6.0,360.0,1.0,C 
06-05-2024,27,33.4,30.5,68.0,-,5.8,3.0,300.0,0.0,C 
07-05-2024,28,35,31.0,68.0,0,3.7,2.0,50.0,1.0,C 
08-05-2024,28,34.2,30.5,71.0,-,6.5,3.0,310.0,1.0,C 
09-05-2024,27,35.2,30.6,73.0,-,4.2,3.0,120.0,1.0,C 
10-05-2024,27.8,34.6,30.9,73.0,-,6.0,3.0,140.0,1.0,C 
11-05-2024,28,36.6,31.1,71.0,-,7.0,5.0,360.0,2.0,C 
12-05-2024,28,35,31.0,70.0,-,5.5,4.0,140.0,2.0,C 
13-05-2024,28,34.8,30.9,72.0,0,5.7,4.0,360.0,1.0,C 
14-05-2024,28,32.4,28.5,84.0,0,6.0,4.0,360.0,1.0,C 
15-05-2024,27,34,30.7,71.0,28.5,0.0,4.0,360.0,1.0,C 
16-05-2024,-,34.2,30.4,73.0,-,4.5,5.0,360.0,1.0,C 
17-05-2024,-,34.6,30.4,70.0,-,5.5,3.0,70.0,1.0,C 
18-05-2024,27.4,34.8,30.6,69.0,-,4.5,4.0,350.0,1.0,C 
19-05-2024,27,33.2,30.3,70.0,-,4.5,4.0,340.0,1.0,C 
